iter	Passed	Remaining
412	2614	3716
413	2618	3706
414	2622	3697
415	2626	3687
416	2629	3676
417	2635	3669
418	2641	3662
419	2645	3653
420	2651	3646
421	2657	3639
422	2661	3631
423	2667	3623
424	2677	3622
425	2681	3613
426	2687	3606
427	2691	3597
428	2695	3587
429	2698	3576
430	2702	3568
431	2706	3559
432	2709	3548
433	2713	3539
434	2717	3529
435	2721	3521
436	2725	3511
437	2729	3502
438	2734	3494
439	2738	3485
440	2744	3478
441	2747	3467
442	2751	3460
443	2755	3450
444	2759	3441
445	2763	3432
446	2766	3422
447	2772	3416
448	2776	3407
449	2782	3401
450	2786	3392
451	2790	3383
452	2796	3377
453	2801	3369
454	2805	3360
455	2811	3354
456	2815	3345
457	2820	3337
458	2824	3329
459	2829	3321
460	2835	3315
461	2842	3309
462	2846	3301
463	2853	3296
464	2857	3288
465	2863	3281
466	2870	3276
467	2880	3273
468	2886	3267
469	2891	3260
470	2895	3251
471	2903	3247
472	2909	3241
473	2913	3233
474	2921	3228
475	2932	3228
476	2937	3221
477	2942	3212
478	2946	3204
479	2951	3197
480	2956	3190
481	2961	3182
482	2967	3176
483	2975	3171
484	2979	3164
485	2985	3157
486	2988	3148
487	2995	3142
488	2999	3134
489	3004	3126
490	3008	3118
491	3011	3109
492	3015	3101
493	3021	3095
494	3026	3087
495	3030	3078
496	3034	3070
497	3039	3063
498	3043	3056
499	3050	3050
500	3055	3043
501	3146	3121
502	3151	3113
503	3156	3106
504	3160	3098
505	3165	3090
506	3297	3206
507	3311	3207
508	3321	3203
509	3326	3196
510	3331	3187
511	3336	3180
512	3341	3171
513	3541	3348
514	3545	3339
515	3552	3331
516	3556	3322
517	3562	3314
518	3567	3306
519	3686	3403
520	3709	3410
521	3786	3467
522	3791	3458
523	3796	3448
524	3800	3438
525	3806	3430
526	3889	3490
527	3894	3481
528	3899	3471
529	3906	3464
530	3917	3460
531	3924	3452
532	3938	3450
533	3943	3441
534	3955	3438
535	3963	3430
536	3972	3424
537	3977	3415
538	3982	3406
539	3987	3396
540	3992	3387
541	3998	3378
542	4004	3370
543	4009	3361
544	4015	3352
545	4041	3360
546	4060	3362
547	4067	3354
548	4072	3345
549	4078	3337
550	4090	3332
551	4105	3332
552	4122	3332
553	4125	3321
554	4140	3319
555	4169	3329
556	4175	3320
557	4180	3311
558	4212	3323
559	4217	3313
560	4223	3305
561	4230	3297
562	4236	3288
563	4240	3278
564	4245	3268
565	4250	3259
566	4254	3249
567	4259	3239
568	4261	3227
569	4265	3218
570	4270	3208
571	4274	3198
572	4278	3188
573	4282	3178
574	4286	3168
575	4290	3158
576	4294	3148
577	4299	3138
578	4303	3128
579	4307	3119
580	4311	3109
581	4316	3099
582	4320	3090
583	4324	3080
584	4328	3070
585	4332	3061
586	4336	3051
587	4340	3041
588	4345	3032
589	4348	3021
590	4354	3013
591	4359	3004
592	4364	2995
593	4369	2986
594	4374	2977
595	4380	2969
596	4385	2960
597	4391	2951
598	4395	2942
599	4401	2934
600	4407	2926
601	4413	2917
602	4418	2909
603	4424	2900
604	4436	2896
605	4440	2887
606	4445	2878
607	4449	2868
608	4455	2860
609	4459	2850
610	4463	2841
611	4468	2833
612	4472	2823
613	4476	2814
614	4481	2805
615	4485	2796
616	4489	2786
617	4493	2777
618	4497	2768
619	4501	2759
620	4505	2749
621	4509	2740
622	4513	2731
623	4517	2721
624	4521	2713
625	4526	2704
626	4530	2695
627	4534	2685
628	4538	2676
629	4542	2667
630	4545	2658
631	4549	2649
632	4553	2640
633	4557	2631
634	4561	2622
635	4565	2613
636	4570	2604
637	4578	2597
638	4582	2588
639	4587	2580
640	4592	2572
641	4597	2563
642	4602	2555
643	4608	2547
644	4612	2538
645	4617	2530
646	4622	2521
647	4629	2514
648	4633	2505
649	4638	2497
650	4643	2489
651	4647	2480
652	4653	2472
653	4658	2464
654	4661	2455
655	4666	2446
656	4671	2438
657	4674	2429
658	4678	2420
659	4682	2412
660	4687	2403
661	4691	2395
662	4695	2386
663	4700	2378
664	4705	2370
665	4709	2362
666	4716	2354
667	4721	2346
668	4725	2338
669	4728	2329
670	4733	2320
671	4739	2313
672	4742	2304
673	4746	2295
674	4750	2287
675	4754	2278
676	4758	2270
677	4764	2262
678	4767	2253
679	4772	2245
680	4776	2237
681	4781	2229
682	4785	2221
683	4791	2213
684	4795	2205
685	4800	2197
686	4807	2190
687	4813	2182
688	4817	2174
689	4820	2165
690	4825	2157
691	4828	2149
692	4832	2140
693	4836	2132
694	4840	2124
695	4844	2115
696	4848	2107
697	4852	2099
698	4855	2091
699	4859	2082
700	4863	2074
701	4867	2066
702	4871	2057
703	4875	2049
704	4877	2041
705	4881	2032
706	4885	2024
707	4888	2016
708	4892	2008
709	4896	1999
710	4899	1991
711	4903	1983
712	4907	1975
713	4911	1967
714	4915	1959
715	4918	1951
716	4922	1942
717	4926	1934
718	4930	1926
719	4933	1918
720	4937	1910
721	4947	1904
722	4952	1897
723	4957	1889
724	4961	1882
725	4967	1874
726	4971	1866
727	4976	1859
728	4981	1851
729	4986	1844
730	4990	1836
731	4995	1828
732	5000	1821
733	5011	1815
734	5015	1808
735	5019	1800
736	5023	1792
737	5028	1785
738	5032	1777
739	5036	1769
740	5040	1761
741	5044	1754
742	5048	1746
743	5052	1738
744	5057	1731
745	5061	1723
746	5065	1715
747	5069	1707
748	5073	1700
749	5077	1692
750	5081	1684
751	5085	1677
752	5089	1669
753	5093	1661
754	5097	1654
755	5101	1646
756	5105	1639
757	5109	1631
758	5113	1623
759	5117	1616
760	5122	1608
761	5126	1601
762	5131	1593
763	5135	1586
764	5140	1579
765	5145	1571
766	5154	1565
767	5159	1558
768	5164	1551
769	5180	1547
770	5185	1540
771	5189	1532
772	5193	1525
773	5198	1518
774	5203	1510
775	5207	1503
776	5239	1503
777	5244	1496
778	5251	1489
779	5255	1482
780	5260	1475
781	5268	1468
782	5273	1461
783	5277	1453
784	5281	1446
785	5285	1439
786	5289	1431
787	5293	1424
788	5297	1416
789	5301	1409
790	5305	1401
791	5309	1394
792	5313	1386
793	5317	1379
794	5321	1372
795	5325	1364
796	5329	1357
797	5332	1349
798	5336	1342
799	5340	1335
800	5345	1327
801	5348	1320
802	5352	1313
803	5356	1305
804	5365	1299
805	5370	1292
806	5375	1285
807	5379	1278
808	5384	1271
809	5390	1264
810	5394	1257
811	5399	1250
812	5404	1243
813	5407	1235
814	5412	1228
815	5417	1221
816	5422	1214
817	5427	1207
818	5436	1201
819	5440	1194
820	5444	1187
821	5448	1179
822	5453	1172
823	5457	1165
824	5461	1158
825	5465	1151
826	5469	1144
827	5473	1137
828	5477	1129
829	5481	1122
830	5485	1115
831	5489	1108
832	5493	1101
833	5497	1094
834	5501	1087
835	5505	1079
836	5509	1072
837	5513	1065
838	5517	1058
839	5521	1051
840	5525	1044
841	5529	1037
842	5533	1030
843	5537	1023
844	5541	1016
845	5545	1009
846	5549	1002
847	5554	995
848	5559	988
849	5564	981
850	5569	975
851	5584	970
852	5589	963
853	5594	956
854	5599	949
855	5603	942
856	5610	936
857	5614	929
858	5619	922
859	5625	915
860	5632	909
861	5638	902
